snapshot_version,source_provenance,analyzer_name,analyzer_version_or_commit,offline_run_id,review_status,reviewer,reviewed_at,source_text_id,token_index,surface_form_vocalized,surface_form_unvocalized_key,normalized_surface_nfc,segmentation_hint,legacy_class,legacy_subclass,legacy_verb_kind,legacy_verb_tense,legacy_root,legacy_wazn,morphology_ambiguity_tags,reliability_tag,certainty_class,unsafe_final_looking,allowed_feed_targets,ignored_fields_summary,quarantine_reason
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,0,كَتَبَ,كتب,كَتَبَ,single_token,FIIL,,verbal,past,كتب,فعل,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,1,كَاتِب,كاتب,كَاتِب,single_token,ISM_MUARAB,,,,كتب,فَأَعل,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='اسم مجرور' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,2,مَكْتُوب,مكتوب,مَكْتُوب,single_token,ISM_MUARAB,,,,كتب,مَفْعُول,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='مبتدأ مرفوع' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,3,مَكْتَب,مكتب,مَكْتَب,single_token,ISM_MUARAB,,,,كتب,مَفْعَل,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='اسم منصوب' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,4,مُسْلِم,مسلم,مُسْلِم,single_token,ISM_MUARAB,,,,سلم,مُفْعِل,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='اسم مجرور' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,5,قَالَ,قال,قَالَ,single_token,FIIL,,verbal,past,قول,فعل,weak_letter|hollow,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,quarantined,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,6,بَاعَ,باع,بَاعَ,single_token,ISM_MUARAB,,,,بوع,فَالَ,weak_letter|hollow,suspicious_defer,not_captured,true,,"legacy_role_i3rab='اسم منصوب' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",legacy word_class misclassification: hollow verb tagged ISM_MUARAB (word_class suspicious); withheld from all feeds
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,7,خَافَ,خاف,خَافَ,single_token,FIIL,,verbal,past,خوف,فعل,weak_letter|hollow,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,quarantined,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,8,صَامَ,صام,صَامَ,single_token,ISM_MUARAB,,,,صوم,فَالَ,weak_letter|hollow,suspicious_defer,not_captured,true,,"legacy_role_i3rab='اسم منصوب' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",legacy word_class misclassification: hollow verb tagged ISM_MUARAB (word_class suspicious); withheld from all feeds
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,9,قِيلَ,قيل,قِيلَ,single_token,FIIL,,verbal,past,قيل,فعل,weak_letter,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
