مخرج الحروف,عدد المخارج الفرعية,التعريف,الحروف
الجوف ( الحروف الجوفية الهوائية المدية ),1,حروف المد الثلاثة، تخرج من الجوف ويصحبها هواء عند النطق ، الألف الساكنة المفتوح ما قبلها (ـَا) ، الواو الساكنة المضموم ما قبلها (ـُو) ، الياء الساكنة المكسور ما قبلها (ـِي),(ـَا، ـُو، ـِي)
الحلق (الحروف الحلقية),3,أقصى الحلق (مما يلي الصدر),1. (الهمزة ثم الهاء)
,,وسط الحلق,2. (العين ثم الحاء)
,, أدنى الحلق (أقرب إلى الفم),3. (الغين - الخاء)
اللسان ( اللسانية ) ,10, أقصى اللسان مما يلي الحلق وما يقابله من الحنك الأعلى ,القاف
,, أقصى اللسان تحت مخرج القاف ،,الكاف
,,وسط اللسان وما يحاذيه من الحنك الأعلى ويخرج منه الحروف الشجرية وهي ( الجيم والشين والياء غير المدية ) .,الجيم ثم الشين ثم الياء غير المدية
,,. من إحدى حافتي اللسان وما يحاذيها من الأضراس العليا ,الضاد
,,يَخرج مِن أدنى حافتَي اللسان مع ما يحاذيها من لثة الأسنان العُليا، ويمكن خروجُه من إِحدى حافتي اللِّسان اليمنى أو اليسرى,اللاَّمُ 
,, من طرف اللسان وما يحاذيه من لثة الثنيتين العليين تحت اللام,النون
,, من طرف اللسان مع ظهره مما يلي رأسه وما يحاذيه من لثة الثنيتين العليين وهو أدخل إلى ظهر اللسان قليلا لانحرافه إلى اللام,الراء
,,تخرج من ظهر طرف اللِّسان مع ما يليها من أصول الثنايا العليا,الطاء والدال وتا
,, من رأس اللسان ومن فوق الثنايا السفلى,الصاد والزاي والسين
,, من رأس اللسان ومن أطراف الثنايا العليا,الظاء والذال وثاء
الشفتان ( الشفوية ) ,2, بطن الشفة السفلى مع أطراف الثنايا العليا,الْفَاء
,, بين الشفتين,الْوَاوُ غير المدية بَاءٌ مِيْمُ
الخيشوم,1,تجويف في أعلى الأنف متصل بالحلق,غُنَّةٌ 
